識別子,テーブル,パーティション,抽出件数,出力ファイルパス(オリジナル),ファイルサイズ,平均レコード長
UF06-1,UF06,1,0 ,/share/biz/bn95/extra/in/UF06-1.bin,0,-
UF06-2,UF06,2,"1,285,191 ",/share/biz/bn95/extra/in/UF06-2.bin,"957,291,817,134",744863
UF06-3,UF06,3,"684,303 ",/share/biz/bn95/extra/in/UF06-3.bin,"500,434,879,994",731306
UF06-4,UF06,4,"1,489,872 ",/share/biz/bn95/extra/in/UF06-4.bin,"1,076,739,938,966",722706
UF06-5,UF06,5,"1,510,784 ",/share/biz/bn95/extra/in/UF06-5.bin,"1,090,397,378,207",721743
UF06-6,UF06,6,0 ,/share/biz/bn95/extra/in/UF06-6.bin,0,-
UF06-7,UF06,7,"1,399,181 ",/share/biz/bn95/extra/in/UF06-7.bin,"1,028,523,210,565",735089
UF06-8,UF06,8,"579,458 ",/share/biz/bn95/extra/in/UF06-8.bin,"424,494,626,045",732572
UF06-9,UF06,9,"797,457 ",/share/biz/bn95/extra/in/UF06-9.bin,"582,457,891,828",730394
UF06-10,UF06,10,0 ,/share/biz/bn95/extra/in/UF06-10.bin,0,-
UF06-11,UF06,11,"284,325 ",/share/biz/bn95/extra/in/UF06-11.bin,"209,459,118,759",736689
UF06-12,UF06,12,"904,914 ",/share/biz/bn95/extra/in/UF06-12.bin,"660,065,081,944",729423
UF06-13,UF06,13,"302,035 ",/share/biz/bn95/extra/in/UF06-13.bin,"224,739,449,430",744084
UF06-14,UF06,14,0 ,/share/biz/bn95/extra/in/UF06-14.bin,0,-
UF06-15,UF06,15,"32,570 ",/share/biz/bn95/extra/in/UF06-15.bin,"23,838,821,503",731926
UF06-16,UF06,16,"759,289 ",/share/biz/bn95/extra/in/UF06-16.bin,"554,807,636,862",730694
UF06-17,UF06,17,"664,590 ",/share/biz/bn95/extra/in/UF06-17.bin,"493,447,983,385",742485
UF06-18,UF06,18,"704,883 ",/share/biz/bn95/extra/in/UF06-18.bin,"522,573,216,866",741362
UF06-19,UF06,19,"954,274 ",/share/biz/bn95/extra/in/UF06-19.bin,"700,859,657,946",734443
UF06-20,UF06,20,0 ,/share/biz/bn95/extra/in/UF06-20.bin,0,-
UF06-21,UF06,21,"1,755,368 ",/share/biz/bn95/extra/in/UF06-21.bin,"1,289,018,692,147",734330
UF06-22,UF06,22,"1,954,825 ",/share/biz/bn95/extra/in/UF06-22.bin,"1,454,161,152,421",743883
GZ02-1,GZ02,1,"188,198 ",/share/biz/bn92/extra/in/GZ02-1.bin,"602,395,965,736",3200863
GZ02-2,GZ02,2,"140,409 ",/share/biz/bn93/extra/in/GZ02-2.bin,"430,993,218,550",3069556
GZ02-3,GZ02,3,"152,163 ",/share/biz/bn94/extra/in/GZ02-3.bin,"551,872,851,880",3626853
GZ02-4,GZ02,4,"141,035 ",/share/biz/bn91/extra/in/GZ02-4.bin,"450,617,676,068",3195077
GZ02-5,GZ02,5,"161,016 ",/share/biz/bn95/extra/in/GZ02-5.bin,"510,063,661,403",3167782
GZ02-6,GZ02,6,"135,939 ",/share/biz/bn92/extra/in/GZ02-6.bin,"456,269,058,364",3356425
GZ02-7,GZ02,7,"191,929 ",/share/biz/bn93/extra/in/GZ02-7.bin,"587,885,392,373",3063036
GZ02-8,GZ02,8,"175,925 ",/share/biz/bn94/extra/in/GZ02-8.bin,"566,570,162,596",3220521
GZ02-9,GZ02,9,"1,828 ",/share/biz/bn91/extra/in/GZ02-9.bin,"3,480,437,269",1903959
GZ02-10,GZ02,10,"196,882 ",/share/biz/bn95/extra/in/GZ02-10.bin,"145,187,080,466",737432
GZ02-11,GZ02,11,"200,450 ",/share/biz/bn92/extra/in/GZ02-11.bin,"518,462,338,944",2586492
GZ02-12,GZ02,12,"84,620 ",/share/biz/bn93/extra/in/GZ02-12.bin,"211,669,770,722",2501415
GZ02-13,GZ02,13,"28,416 ",/share/biz/bn94/extra/in/GZ02-13.bin,"83,285,181,484",2930926
GZ02-14,GZ02,14,"88,196 ",/share/biz/bn91/extra/in/GZ02-14.bin,"403,195,657,482",4571587
